pBrakeF1,rThrottlePedal,vCar
0.1,100,252.2
0.1,100,252.2
0.1,100,252.3
0.1,99.9,252.3
0.1,100,252.3
0.1,100,252.3
0.1,100,252.3
0.1,100,252.4
0.1,100,252.4
0.1,100,252.4
0.1,100,252.4
0.1,100,252.4
0.1,100,252.4
0.1,99.9,252.5
0.1,99.9,252.5
0.1,100,252.5
0.1,100,252.5
0.1,100,252.5
0.1,100,252.6
0.1,100,252.6
0.1,100,252.6
0.1,100,252.6
0.1,100,252.6
0.1,100,252.6
0.1,99.9,252.7
0.1,100,252.7
0.1,100,252.7
0.1,100,252.7
0.1,100,252.7
0.1,100,252.7
0.1,100,252.8
0.1,100,252.8
0.1,100,252.8
0.1,100,252.8
0.1,99.9,252.8
0.1,99.9,252.8
0.1,100,252.9
0.1,100,252.9
0.1,100,252.9
0.1,100,252.9
0.1,100,252.9
0.1,100,252.9
0.1,100,252.9
0.1,100,253
0.1,99.9,253
0.1,99.9,253
0.1,100,253
0.1,100,253
0.1,100,253
0.1,100,253
0.1,100,253.1
0.1,100,253.1
0.1,100,253.1
0.1,100,253.1
0.1,99.9,253.1
0.1,99.9,253.1
0.1,99.9,253.1
0.1,100,253.2
0.1,100,253.2
0.1,100,253.2
0.1,100,253.2
0.1,100,253.2
0.1,100,253.2
0.1,100,253.2
0.1,99.9,253.2
0.1,99.9,253.3
0.1,99.9,253.3
0.1,100,253.3
0.1,100,253.3
0.1,100,253.3
0.1,100,253.3
0.1,100,253.3
0.1,100,253.3
0.1,100,253.4
0.1,99.9,253.4
0.1,99.9,253.4
0.1,99.9,253.4
0.1,99.9,253.4
0.1,100,253.4
0.1,100,253.4
0.1,100,253.4
0.1,100,253.4
0.1,100,253.5
0.1,100,253.5
0.1,99.9,253.5
0.1,99.9,253.5
0.1,99.9,253.5
0.1,99.9,253.5
0.1,99.9,253.5
0.1,99.9,253.5
0.1,99.9,253.5
0.1,99.9,253.5
0.1,99.9,253.6
0.1,99.9,253.6
0.1,99.9,253.6
0.1,99.7,253.6
0.1,99.6,253.6
0.1,99.5,253.6
0.1,99.3,253.6
0.1,99,253.6
0.1,98.6,253.6
0.1,98.2,253.6
0.1,97.8,253.6
0.1,97.4,253.6
0.1,96.9,253.6
0.1,96.3,253.6
0.1,95.7,253.6
0.1,95,253.6
0.1,94.4,253.6
0.1,93.7,253.5
0.1,92.5,253.5
0.1,91.3,253.5
0.1,90,253.4
0.1,88.8,253.4
0.1,87.6,253.4
0.1,85.2,253.3
0.1,82.9,253.2
0.1,80.5,253.1
0.1,77.8,253
0.1,74.5,252.9
0.1,70.5,252.7
0.1,66.5,252.6
0.1,62.5,252.4
0.1,58.5,252.2
0.1,54.1,252
0.1,49.5,251.8
0.1,44.8,251.5
0.1,40.1,251.2
0.1,35.3,250.9
0.2,30.7,250.5
0.2,26.1,250.1
0.3,21.5,249.7
0.3,16.9,249.3
0.6,12.7,248.8
0.9,8.8,248.3
1.3,4.8,247.8
2.7,2.2,247.2
5.9,1.1,246.5
10.9,0.8,245.6
15.9,0.6,244.8
20.9,0.3,243.9
27.4,0.2,242.8
35.2,0.1,241.4
43,0.1,240
51.5,0.1,238.2
59.1,0.1,235.6
65.4,0.1,232.6
71.8,0.1,229.6
78.1,0.1,226.6
81.9,0,223.3
84.7,0,219.9
87.5,0,216.5
89,0,213.1
87.9,0,209.8
85.9,0,206.6
83.8,0,203.3
81.7,0,200.1
78.6,0.1,197.1
75.3,0.1,194.2
72,0.1,191.3
69.3,0.1,188.5
66.6,0.1,185.9
63.8,0.1,183.4
61.1,0.1,181
58.3,0.1,178.5
55.6,0.1,176.2
53.1,0.1,174
50.5,0.1,171.8
48.1,0.1,169.7
45.8,0.1,167.7
43.7,0.1,165.8
41.6,0.1,164
39.4,0.1,162.2
37.3,0.1,160.4
35.4,0.1,158.7
33.6,0.1,157.1
31.7,0.1,155.5
30.1,0.1,154.1
28.7,0.1,152.7
27.5,0.1,151.3
26.2,0.2,150
25,0.2,148.7
23.8,0.2,147.4
22.9,0.2,146.2
22,0.2,145
21,0.2,143.8
20.2,0.2,142.7
19.5,0.2,141.6
18.8,0.2,140.6
18.2,0.2,139.6
17.5,0.2,138.6
16.8,0.2,137.6
16.3,0.2,136.6
15.7,0.3,135.7
15.2,0.3,134.8
14.7,0.3,133.9
14.2,0.3,133.1
13.8,0.3,132.3
13.4,0.3,131.4
13,0.3,130.6
12.6,0.3,129.8
12.3,0.3,129
12,0.3,128.3
11.6,0.3,127.5
11.3,0.4,126.8
11,0.4,126
10.4,0.4,125.3
9.8,0.4,124.6
9.1,0.4,123.9
8.5,0.5,123.2
8,0.5,122.6
7.5,0.5,122
7,0.6,121.4
6.8,0.6,120.8
7.2,0.6,120.2
6.9,0.6,119.7
6.4,0.7,119.2
5.9,0.8,118.8
5.4,0.8,118.3
4.8,1,117.8
3.9,1.4,117.5
3,1.8,117.1
2.1,2.2,116.7
1.6,2.8,116.4
1.3,3.4,116.2
1.2,4,115.9
1.1,4.5,115.6
0.9,5,115.4
0.8,5.5,115.1
0.7,5.8,114.9
0.7,6,114.6
0.7,6.2,114.4
0.7,6.3,114.2
0.7,6.3,113.9
0.7,6.2,113.7
0.7,6,113.5
0.7,5.9,113.2
0.7,5.8,113
0.8,5.6,112.7
